Data from VictorTetra_Absorbance__0__00000.txt Node

Date: Thu Oct 10 15:44:17 EDT 2024
User: earladmin
Spectrometer: FLCH01037
Trigger mode: 0
Integration Time (sec): 1.000000E-1
Scans to average: 5
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 2
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
178.246	-0
178.631	-0
179.016	-0
179.401	0.11
179.785	0.11
180.17	-0.67
180.554	-0
180.939	-0.02
181.323	0.04
181.708	-0.02
182.092	-0
182.477	-0.05
182.861	0.73
183.245	-0.32
183.63	0.16
184.014	-0
184.398	-0.25
184.782	-0.1
185.167	0.02
185.551	-0.27
185.935	0.29
186.319	-0.03
186.703	-0.15
187.087	-0.01
187.471	-0
187.855	-0.55
188.238	-0.47
188.622	-0
189.006	0.14
189.39	-0.24
189.774	-0
190.157	-0
190.541	-0.25
190.925	0.06
191.308	0.39
191.692	0.45
192.075	0.63
192.459	-0.85
192.842	-0
193.226	-0
193.609	0.43
193.992	0.27
194.376	0.02
194.759	0.66
195.142	0.13
195.525	0.23
195.909	0.9
196.292	0.62
196.675	-0
197.058	0.35
197.441	-0
197.824	0.32
198.207	-0
198.59	-0.14
198.973	0.09
199.356	0.38
199.738	0.45
200.121	0.23
200.504	0.59
200.887	-0
201.269	0.06
201.652	-0
202.035	-0.05
202.417	0.23
202.8	-0
203.182	-0.12
203.565	0.34
203.947	-0
204.329	0.7
204.712	-0.13
205.094	-0
205.476	0.19
205.859	-0.12
206.241	0.58
206.623	0.07
207.005	0.11
207.387	0.15
207.769	-0.62
208.151	-0
208.533	-0
208.915	0.02
209.297	0.02
209.679	0.31
210.061	0.66
210.443	-0
210.825	-0
211.206	-0
211.588	0.87
211.97	0.88
212.351	0.18
212.733	0.66
213.115	2
213.496	0.2
213.878	0.52
214.259	-0.16
214.641	0.38
215.022	-0
215.403	0.72
215.785	0.52
216.166	-0.68
216.547	-0
216.928	-0
217.31	-0
217.691	0.5
218.072	-0.13
218.453	-0
218.834	-0
219.215	-0.04
219.596	-0.08
219.977	0.2
220.358	-0.18
220.739	0.53
221.119	-0.03
221.5	-0.46
221.881	2.07
222.262	0.16
222.642	0.41
223.023	-0
223.403	-0.38
223.784	0.18
224.165	0.88
224.545	-0.15
224.926	-0
225.306	-0.05
225.686	0.3
226.067	-0.09
226.447	0.75
226.827	0.52
227.207	0.31
227.588	-0
227.968	-0
228.348	0.66
228.728	0.68
229.108	0.28
229.488	-0
229.868	-0.95
230.248	0.86
230.628	0.29
231.008	-0
231.388	-0
231.767	0.15
232.147	0.21
232.527	0.16
232.907	-0.04
233.286	0.33
233.666	-0
234.046	0.85
234.425	-0
234.805	0.34
235.184	1.79
235.564	0.16
235.943	0.12
236.322	0.14
236.702	0.24
237.081	-0.16
237.46	0.87
237.839	-0.05
238.219	0.44
238.598	0.39
238.977	0.48
239.356	-0
239.735	0.21
240.114	-0
240.493	0.26
240.872	1.07
241.251	0.54
241.629	0.51
242.008	0.8
242.387	0.58
242.766	0.5
243.145	-0.01
243.523	0.17
243.902	0.29
244.28	0.66
244.659	1.21
245.037	0.28
245.416	-0
245.794	0.52
246.173	-0
246.551	0.35
246.93	0.36
247.308	0.77
247.686	-0
248.064	0.92
248.442	-0
248.821	-0
249.199	-0
249.577	1.23
249.955	0.67
250.333	0.55
250.711	-0
251.089	0.83
251.467	-0
251.844	0.59
252.222	0.33
252.6	0.49
252.978	0.91
253.356	0.49
253.733	-0
254.111	1.2
254.488	0.77
254.866	1.59
255.243	1.34
255.621	1.27
255.998	0.58
256.376	1.18
256.753	2.32
257.13	-0
257.508	0.75
257.885	-0
258.262	-0
258.639	0.92
259.017	0.73
259.394	1.62
259.771	1.27
260.148	-0
260.525	1.41
260.902	-0
261.279	1.17
261.656	0.78
262.032	1.03
262.409	0.74
262.786	1
263.163	0.76
263.539	1.92
263.916	2.67
264.293	1.51
264.669	1.05
265.046	1.01
265.422	1.38
265.799	-0
266.175	1.51
266.552	-0
266.928	-0
267.304	-0
267.681	1.23
268.057	1.41
268.433	1.44
268.809	-0
269.185	-0
269.561	1.77
269.937	1.33
270.313	1.46
270.689	-0
271.065	1.94
271.441	1.57
271.817	-0
272.193	-0
272.569	1.06
272.945	1.42
273.32	-0
